"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FREM1",5.91648704833876,-2.39725081710138,0.307435685830517,-7.79756849184689,6.31113850648865e-15,8.65888203090243e-13
"AOC3",25.7677190715496,-2.25205330752999,0.289009243710566,-7.7923227597016,6.57884192719429e-15,8.95980221878623e-13
"PSMA2",198.495983122958,-1.36741200765875,0.175549815793922,-7.78931041012288,6.73758967465867e-15,9.10902452219181e-13
"FANCA",40.5690129527044,1.89813409943735,0.244133617650794,7.7749804295794,7.54590709046545e-15,1.01279196470725e-12
"MEIS1",15.4540483655372,-1.65542382070117,0.2133993745618,-7.75739771543594,8.66897437304872e-15,1.14690530955435e-12
"KIFC1",13.0973060946059,2.28957770304513,0.295141768809025,7.75755228507365,8.65841867982203e-15,1.14690530955435e-12
"KIF2C",7.35918838960615,2.51699544733513,0.324811957181814,7.74908494494321,9.25570899204913e-15,1.21584568759386e-12
"RBL1",124.633724609154,-1.27942398933873,0.165195358908352,-7.74491485592243,9.56459165024504e-15,1.24757300384393e-12
"RUNX1T1",21.3090473256441,-1.78059779468979,0.230051777830993,-7.73998710845828,9.94268951189053e-15,1.28651147017215e-12
"DTYMK",18.437667590477,1.50425609422561,0.194367656999347,7.73923047408381,1.00020328098903e-14,1.28651147017215e-12
"TMEM132A",77.6382125958037,1.92635899599865,0.249560360376231,7.71901031515791,1.17236416725695e-14,1.49755373144367e-12
"SH3D19",29.1243747399023,-1.29806571793376,0.168319466955467,-7.71191675813225,1.23941967667446e-14,1.56166879260982e-12
"SHPK",233.882760098986,-1.39475442062577,0.180845453312026,-7.71241076334552,1.23463003118086e-14,1.56166879260982e-12
"CYP4F22",5.03227552323029,-3.81238558924619,0.494768108271201,-7.70539880302162,1.30435304684326e-14,1.63238021173181e-12
"HIST1H3I",54.4713590068363,2.43277754910034,0.31677353724528,7.67986357148457,1.59258104120302e-14,1.97971718423908e-12
"HOXC4",71.035804457473,-1.41749401328662,0.184776540886357,-7.67139598180068,1.70134419617713e-14,2.10081981343952e-12
"STMN1",38.0696163465296,1.73249165778083,0.22591820228924,7.66866786396761,1.73791809966387e-14,2.13176947297842e-12
"DBNDD1",13.9902420176204,1.86905791122714,0.243838364551047,7.66515111216578,1.78620773535255e-14,2.17658813646053e-12
"HPSE2",3.9929397529209,-3.82901215065463,0.500586677811703,-7.64904924636234,2.02470695174154e-14,2.45108641569653e-12
"HIST1H2AI",96.7992718616763,2.94014923682857,0.384498599290682,7.64670987684355,2.06186809282512e-14,2.47986498800694e-12
"FOXM1",26.7125313868271,1.60200123793054,0.210012066823348,7.62813900249871,2.38166689371933e-14,2.82777142342753e-12
"JAM2",8.15766702853217,-1.35059874118212,0.177051079313769,-7.62829995963251,2.37869584027126e-14,2.82777142342753e-12
"HIST2H4A",74.2840621408666,2.3088638088459,0.303028062765662,7.61930689776212,2.55041433011392e-14,3.00883912244395e-12
"MCM4",52.6079610083456,1.58944334959097,0.208642350394271,7.61802839446258,2.57579646511004e-14,3.01955076751697e-12
"ZWINT",10.9809858269704,2.12116240890209,0.278519574096459,7.61584680639884,2.61968245503043e-14,3.05168292025621e-12
"ADH1B",38.8409788803181,-2.85480310721083,0.375484365509131,-7.60298795221451,2.89370438636157e-14,3.34982454026181e-12
"POLR2J2",785.166196929624,-1.43859447581337,0.189323726745428,-7.59859580488694,2.9936119344515e-14,3.4439552950255e-12
"CXorf36",11.5693953381339,-1.2611557217455,0.166130665917745,-7.59134814020383,3.16594063130084e-14,3.61972545512063e-12
"FLG2",13.9162615996701,-6.07691023410365,0.800909524420857,-7.587511508866,3.26107657526054e-14,3.7056233329433e-12
"TPX2",7.14612772865064,2.66862250882533,0.351841711828021,7.58472466200866,3.33193864045666e-14,3.76305899381331e-12
"ADIRF",66.3751502704809,-2.48569924407245,0.327764411821149,-7.58379846750665,3.35582288953156e-14,3.76706373090324e-12
"DNALI1",5.95877971186772,-1.95725717850978,0.258933929924894,-7.55890577599276,4.06474204493456e-14,4.53537061182397e-12
"COL11A1",21.7609387207182,3.83768932141385,0.507781171969368,7.55776214885998,4.10063000163138e-14,4.54801610121057e-12
"PAFAH1B3",19.4630065784692,1.70976930677514,0.226622544160005,7.54456849433289,4.53787486532971e-14,4.97437037585867e-12
"HAL",6.65168955299029,-3.82634373852247,0.507218752067949,-7.54377420574916,4.56561366966836e-14,4.97437037585867e-12
"GFRA1",9.68442075219996,-2.41363839986503,0.319930689388262,-7.54425405227654,4.54883619932362e-14,4.97437037585867e-12
"ABCC9",45.3343834945022,-2.83116181556287,0.375353949354285,-7.54264560272584,4.6053146424898e-14,4.98828291276001e-12
"FXYD1",20.9743358577395,-2.49213589952095,0.330946314343731,-7.53033284103155,5.06111447882882e-14,5.45011409167834e-12
"NCAPD2",25.8926115554853,1.47425792188895,0.195914373326607,7.52501154895475,5.27156644395166e-14,5.64392795808513e-12
"SLC7A2",9.14460381255053,-2.3834899528572,0.317018385388757,-7.5184596941731,5.5425326613686e-14,5.89993045711892e-12
"FOSB",161.237265664262,-2.79505868388251,0.371800765753818,-7.51762487152384,5.57802744356808e-14,5.90378424627246e-12
"ACE",358.627955261983,-1.22106690612904,0.162570058479831,-7.51101966467297,5.86685778311842e-14,6.17420112834769e-12
"ZNF286A",136.302426542141,-1.61154699649793,0.214866891652314,-7.50021087057772,6.37152492848705e-14,6.6674228658439e-12
"EPCAM",35.0135518331278,2.0888565036871,0.27888568514711,7.49000976003932,6.88684924894327e-14,7.16619223533299e-12
"PCSK5",36.4133019049512,-3.4163081237339,0.456191881971302,-7.48875255949604,6.95312843799448e-14,7.19473994014155e-12
"PAMR1",5.10922630927076,-2.22604167566602,0.297343135317991,-7.4864404496354,7.07666312389063e-14,7.28188635448346e-12
"CENPM",11.0007283116528,2.16689700614371,0.289483715341968,7.48538481200556,7.13378022235424e-14,7.30010371704117e-12
"FHL1",83.2839254549289,-2.97261099888527,0.397245650697304,-7.48305486458394,7.26145481736589e-14,7.38992671028851e-12
"LDB2",18.0788059971655,-1.89213637321704,0.252967217675063,-7.47976908078063,7.44533187140445e-14,7.53565229082804e-12
"ASF1B",9.58662316492692,2.23289603509883,0.298585440060149,7.47824821816167,7.53198366720083e-14,7.58192399368988e-12
"CADM3",6.09416828945957,-2.33119642508092,0.312068119036226,-7.47015245351066,8.01019630535486e-14,8.01972194420447e-12
"LRRC15",12.082189406528,2.35915120947281,0.315844401922922,7.46934628288436,8.05941944139054e-14,8.02562187599116e-12
"SORBS1",40.6858267844647,-2.0438090818292,0.273806409265887,-7.46443111871976,8.36602643736428e-14,8.2863926028268e-12
"MYOCD",4.00206838199526,-5.24450304786497,0.703022414628818,-7.45993717801155,8.65637432381822e-14,8.52837049073198e-12
"GFPT1",13.6462232083424,1.16183018816437,0.155990960547994,7.44806099073223,9.47220328764684e-14,9.28275922189391e-12
"PARP1",42.5115464105126,1.35582509633427,0.18208555564307,7.44608813997303,9.61485820844175e-14,9.37296861772411e-12
