"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DCAF8",1672.22294965403,-1.86948043768048,0.242956645130059,-7.69470798660275,1.41817682872612e-14,1.85146456052364e-12
"AKAP12",12.1431272119529,-2.64463599504915,0.343830371135726,-7.69168816097748,1.45206184254655e-14,1.88253767628483e-12
"CNN1",58.1493658954706,-2.4262799173344,0.315555502473689,-7.68891652439717,1.48386232518518e-14,1.89741272252618e-12
"TIMM10B",295.884081562061,-1.78425914339924,0.232038662590213,-7.68949072314854,1.47721845350457e-14,1.89741272252618e-12
"HIST1H3I",54.9955043150225,2.4936229698533,0.324490279493619,7.68473858059693,1.53309721410591e-14,1.94703346191451e-12
"LSM4",35.3226016471206,1.55349060250463,0.202529632432912,7.67043609294664,1.71412555753036e-14,2.16223040767124e-12
"PI4K2A",145.87025274352,-1.59854051126231,0.208680143658573,-7.66024252828637,1.85582287708026e-14,2.32525887867191e-12
"FREM1",6.10376884348482,-2.47934879058127,0.32395873244216,-7.65328587345284,1.95907727899469e-14,2.4382675814368e-12
"ACSBG1",29.5632051797391,-3.65647583244187,0.480076399738876,-7.61644570412275,2.60756200064744e-14,3.22387913841636e-12
"KIAA0391",144.261715800073,-1.75653142689335,0.231223026549627,-7.59669766936621,3.03783128963012e-14,3.73113633855952e-12
"NAA60",555.169450138796,-1.67704372800041,0.22084603120461,-7.5937236401892,3.10840982409663e-14,3.79286947752026e-12
"EBF1",19.5795351845914,-1.64298991399257,0.216752952498731,-7.58001169096965,3.45523823892345e-14,4.18869108327674e-12
"B3GALT1",38.3434371686946,-4.54887969476495,0.600240926968151,-7.57842308044803,3.49780175869819e-14,4.21293296987978e-12
"FLG",34.4689438543102,-5.43891877977123,0.718400740293173,-7.57087023261091,3.70732248086088e-14,4.43666688430716e-12
"DNASE2",18.7775867533589,1.49521600094052,0.197695385413464,7.56323167489921,3.93176406251662e-14,4.67529320274667e-12
"NTRK2",13.177851928404,-2.26820581462436,0.300195217140568,-7.55576932980333,4.16391227580672e-14,4.92000495424276e-12
"1-Sep",265.816683597567,-1.61757494613337,0.214653490449701,-7.53574955964863,4.85537649244946e-14,5.70094488915339e-12
"LMOD1",18.4499484688973,-2.14852682497273,0.285160040715554,-7.53445966546159,4.90361044797483e-14,5.72159396582763e-12
"CCDC167",7.28775342096603,1.68411183869669,0.224260727908367,7.50961550158179,5.93012775646499e-14,6.87636988108354e-12
"HIST1H3J",34.0037503754087,3.20745472304656,0.427998381632056,7.49408142810214,6.67642679430431e-14,7.69396369276958e-12
"AURKB",13.4618359402382,2.51413800513597,0.336299758442891,7.47588406479009,7.66865426971868e-14,8.78319672155694e-12
"ANKRD29",7.34700210261194,-1.9983943787784,0.267482862781255,-7.47111182376071,7.95200409072638e-14,9.05219294937627e-12
"SLC39A1",52.1345661535118,1.58567052294146,0.21238075775839,7.46616849698482,8.25636108747696e-14,9.34169728133984e-12
"SLC5A3",73.6093147322141,-1.9065455900573,0.255420834917031,-7.46433074136888,8.37240593881501e-14,9.41593051034563e-12
"HIST1H2AJ",53.9693262321702,3.12867161598779,0.419328950880963,7.46113906377033,8.57776577150964e-14,9.58912031067745e-12
"CHTF8",516.43061655732,-1.65933331885935,0.222451719747756,-7.45929642953947,8.6985709874126e-14,9.66628700976225e-12
"KIFC1",13.8606953591395,2.37326013209047,0.318513397157076,7.45105277603156,9.25983081206776e-14,1.02290994929286e-11
"SBK1",7.42059274278137,2.04761168749295,0.275120964311109,7.44258690943482,9.87324603055794e-14,1.08425664790874e-11
"LGI4",8.09422564050765,-1.90083989578326,0.255608680820306,-7.43652324202381,1.03369786548597e-13,1.12854417840688e-11
"LYVE1",6.56552288620674,-2.34413985974286,0.315281772920627,-7.43506304861146,1.04518099237252e-13,1.13444674108155e-11
"PMEPA1",67.278417543112,2.02360004560553,0.272404570652164,7.42865672466811,1.09706043031382e-13,1.17707018238671e-11
"TNXB",65.3071499288941,-2.29878694419596,0.309422044164748,-7.4292927331706,1.09179880664646e-13,1.17707018238671e-11
"CACNA1G",3.83261668971569,-3.52897148320449,0.476104527011585,-7.41217796300985,1.24241877975608e-13,1.31788160223104e-11
"MTX1",26.3982563986444,1.09788470021581,0.148342816169262,7.40099674906469,1.35166041906839e-13,1.42565809963773e-11
"H2AFZ",37.7222480090285,1.48912306454146,0.201491515589986,7.39050009218088,1.46277598793134e-13,1.53418904037586e-11
"CBX2",10.4411029754655,2.39416888253631,0.324275327242634,7.38313612353526,1.54603813339505e-13,1.6034992173529e-11
"PRC1",21.8619215247571,1.91500783848514,0.25936731708301,7.38338145307741,1.5431907316198e-13,1.6034992173529e-11
"NPIPA7",3080.85258670158,-1.65486212335194,0.224264447543102,-7.37906583714693,1.59403997108609e-13,1.64415095139261e-11
"DESI2",14.8152659701712,1.14397279164451,0.155055819776034,7.37781266963659,1.60911153523662e-13,1.64736249994944e-11
"HIST1H2BF",16.0783143579855,2.12258731087743,0.287717060703472,7.37734253814383,1.6148017434825e-13,1.64736249994944e-11
"NCAPD2",25.5814040347858,1.55512657465242,0.211209039474903,7.36297356646616,1.79857997801665e-13,1.82487443530396e-11
"NOMO2",21.4536954730652,1.10492757981347,0.15039708906826,7.34673514400254,2.03106760749455e-13,2.0496216845576e-11
"PHYHIP",5.34512482965174,-3.73020247129289,0.508120059306153,-7.3411832557576,2.11713688876333e-13,2.12499078367326e-11
"SLC35A2",17.6499507718336,1.56556851521275,0.213462531859584,7.33416071464282,2.23115228428023e-13,2.22745358263249e-11
"FLNC",18.0910533047211,-2.88224787851169,0.393256199534103,-7.32918611817523,2.3155462550764e-13,2.28724513418102e-11
"HIST1H2AL",30.2489359211741,2.71116767550232,0.370753527103956,7.31258768238806,2.62046169796738e-13,2.57481049680805e-11
"CDCA8",5.28081570285247,2.78155373815043,0.380639327352671,7.30758368426092,2.71988936693891e-13,2.65851385295197e-11
"ABCA9",9.65420688110745,-1.80691029264222,0.247493709149169,-7.30083321654516,2.85991079998253e-13,2.78081639192052e-11
"FGF10",5.93286419971369,-2.49907772612919,0.342406514393428,-7.29856945203364,2.90843367692551e-13,2.81334447225504e-11
"LRRC15",13.2954672959034,2.73389612853635,0.374917201921588,7.29199971226748,3.05387815555792e-13,2.9388067673253e-11
"ZFP41",295.280055975068,-1.48346849362518,0.203562855801474,-7.2875205438852,3.15711176582536e-13,3.02257023365096e-11
"MFN1",187.427223993372,-3.9208890534912,0.538934506210682,-7.2752607381915,3.457519856762e-13,3.29328766356581e-11
"HIST1H3H",66.3079329973891,2.63033968747981,0.361665427771962,7.27285354224759,3.51971869437547e-13,3.33551412717237e-11
"UQCR11",839.807084999191,-1.39169632381348,0.191609350949304,-7.26319627366044,3.78048745903302e-13,3.56454143296401e-11
"PER2",28.8370593903766,-1.30064293963728,0.179148019949889,-7.26015805254834,3.86638277737174e-13,3.62721105883181e-11
"MEIS1",15.6139604521529,-1.56032826836008,0.215028714609303,-7.25637164875918,3.97611665153965e-13,3.71150608837969e-11
"HIST2H4B",39.9206503786125,2.43155742265885,0.335482021705007,7.24795150065282,4.23122055600089e-13,3.92998291343187e-11
"ZNF385D",7.1245765858641,-2.00709529340174,0.277048146865957,-7.24457216590887,4.3380638218974e-13,4.00927294509914e-11
"HIST1H2BJ",55.2469900603067,2.62804415313778,0.363050314827529,7.23878769912722,4.52713028978408e-13,4.16339878719108e-11
"WDR34",40.4844568896894,1.55011966323047,0.214241028818673,7.23540057559394,4.64157074939849e-13,4.24771981963335e-11
"CXCL9",9.39609621226066,3.21132174634922,0.444649487841602,7.22214201108714,5.11749883495179e-13,4.66041881705926e-11
"TROAP",10.9895606092887,2.19810394717249,0.304879541095022,7.20974565652276,5.60564826291124e-13,5.08018676797524e-11
"UBE2C",17.5154018155041,1.70603222298971,0.236721643599072,7.20691271423901,5.72346648224782e-13,5.16190317667076e-11
"RHPN1",36.1672237408218,2.26218634498982,0.314475844458526,7.19351385759032,6.31447406468585e-13,5.66754405353943e-11
"SDHD",559.072194946943,-1.8150399313946,0.252792292085794,-7.17996548240719,6.97290213784405e-13,6.22856985700529e-11
"CA12",17.8157169997308,-2.3400146534043,0.326328156513682,-7.17074088366685,7.45929705955447e-13,6.63131508594392e-11
"DTYMK",16.7922664743746,1.44713150466337,0.201873087688467,7.16852117948781,7.58122065402604e-13,6.70776343080626e-11
"PITX1",11.8162392888889,2.44278543218269,0.340900484963326,7.16568482572115,7.73986555174615e-13,6.81582782950703e-11
