"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition","5/724","17/18986",0.294117647058824,7.71286967825804,5.5132904568832,0.000335720676496102,0.00916819218228963,0.00781627618784834,"ESPL1/UBE2C/CDC20/ANAPC11/DLGAP5",5
"GO:0002228","natural killer cell mediated immunity","11/724","84/18986",0.130952380952381,3.43406340436727,4.45161979694668,0.000338527433616407,0.00919319471960534,0.00783759192089265,"FCGR3A/PRDX1/TUBB/LGALS9/LAG3/CD2/HLA-B/HLA-A/HCST/NKG7/ULBP2",11
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","13/724","112/18986",0.116071428571429,3.04382892659826,4.31938575900564,0.000340953053555133,0.00920762662961946,0.00784989574179275,"OAS3/FCGR3A/OAS2/MIF/HDAC2/OAS1/IFIH1/LGALS9/FADD/CD2/CYBA/ORM2/TYROBP",13
"GO:0002832","negative regulation of response to biotic stimulus","14/724","127/18986",0.110236220472441,2.89080784791404,4.2568695444107,0.000350523591188482,0.00941378550700116,0.0080256550073222,"AURKB/PARP1/ISG15/OAS3/IL4I1/SLAMF8/USP18/OAS1/FOXP3/NLRC5/LGALS9/HLA-B/HLA-A/LTF",14
"GO:0030261","chromosome condensation","8/724","47/18986",0.170212765957447,4.46361819677912,4.73370112587926,0.000362001910714574,0.00952401419130582,0.0081196296779244,"NUSAP1/PLK1/NCAPD2/NCAPH/TOP2A/NCAPG2/CDCA5/SMC4",8
"GO:0045840","positive regulation of mitotic nuclear division","8/724","47/18986",0.170212765957447,4.46361819677912,4.73370112587926,0.000362001910714574,0.00952401419130582,0.0081196296779244,"NUSAP1/AURKA/ESPL1/UBE2C/CDC20/ANAPC11/DLGAP5/TNF",8
"GO:0031055","chromatin remodeling at centromere","4/724","10/18986",0.4,10.4895027624309,5.97642584702917,0.00036638359468714,0.00952401419130582,0.0081196296779244,"CENPA/HJURP/OIP5/CENPW",4
"GO:0034080","CENP-A containing chromatin assembly","4/724","10/18986",0.4,10.4895027624309,5.97642584702917,0.00036638359468714,0.00952401419130582,0.0081196296779244,"CENPA/HJURP/OIP5/CENPW",4
"GO:0036093","germ cell proliferation","4/724","10/18986",0.4,10.4895027624309,5.97642584702917,0.00036638359468714,0.00952401419130582,0.0081196296779244,"FANCA/PRDX4/UCHL1/CIB1",4
"GO:0070344","regulation of fat cell proliferation","4/724","10/18986",0.4,10.4895027624309,5.97642584702917,0.00036638359468714,0.00952401419130582,0.0081196296779244,"E2F1/TFDP1/E2F3/TREM2",4
